pmid	author	order
27753538	Elda_Tagliabue	6
27753538	Lucia_Sfondrini	7
27753538	Andrea_Balsari	8
27752882	Hjalte_C_R_Sass	1
27752882	Rehannah_Borup	2
27752882	Mikkel_Alanin	3
27752882	Finn_Cilius_Nielsen	4
27752882	Per_Cayé-Thomasen	5
27749006	Enrique_Jurado-Ruiz	1
27749006	Lourdes_M_Varela	2
27749006	Amparo_Luque	3
27749006	Genoveva_Berná	4
27749006	Gladys_Cahuana	5
27749006	Enrique_Martinez-Force	6
27749006	Rocío_Gallego-Durán	7
27749006	Bernat_Soria	8
27749006	Baukje_de_Roos	9
27749006	Manuel_Romero_Gómez	10
27749006	Franz_Martín	11
27748636	Paulina_Płoszaj	1
27748636	Andrzej_Regiec	2
27748636	Stanisław_Ryng	3
27748636	Agnieszka_Piwowar	4
27748636	Marian_L_Kruzel	5
27731332	L_Dioni	1
27731332	S_Sucato	2
27731332	V_Motta	3
27731332	S_Iodice	4
27731332	L_Angelici	5
27731332	C_Favero	6
27731332	T_Cavalleri	7
27731332	L_Vigna	8
27731332	B_Albetti	9
27731332	S_Fustinoni	10
27731332	P_Bertazzi	11
27731332	A_Pesatori	12
27731332	V_Bollati	13
27725776	Mijeong_Park	1
27725776	Mark_J_Raftery	2
27725776	Paul_S_Thomas	3
27725776	Carolyn_L_Geczy	4
27725776	Katherine_Bryant	5
27725776	Nicodemus_Tedla	6
27713912	Donatella_Aiello	1
27713912	Francesca_Casadonte	2
27713912	Rosa_Terracciano	3
27713912	Rocco_Damiano	4
27713912	Rocco_Savino	5
27713912	Giovanni_Sindona	6
27713912	Anna_Napoli	7
27713610	Tsan-Wan_Chiu	1
27713610	Ying-Lun_Chen	2
27713610	Chien-Yi_Wu	3
27713610	Pei-Ling_Yu	4
27713610	Ying-Hua_Shieh	5
27713610	Bin_Huang	6
27709720	Atsushi_Kiba	1
27709720	Kouji_Banno	2
27709720	Megumi_Yanokura	3
27709720	Mari_Asada	4
27709720	Yusuke_Nakayama	5
27709720	Daisuke_Aoki	6
27709720	Tatsuya_Watanabe	7
27708692	Fan_Yi	1
27708692	Xiao-Lei_Tan	2
27708692	Xin_Yan	3
27708692	Hai-Bo_Liu	4
27698376	Tao_Su	1
27698376	Yong_Tan	2
27698376	Man-Shan_Tsui	3
27698376	Hua_Yi	4
27698376	Xiu-Qiong_Fu	5
27698376	Ting_Li	6
27698376	Chi_Leung_Chan	7
27698376	Hui_Guo	8
27698376	Ya-Xi_Li	9
27698376	Pei-Li_Zhu	10
27698376	Anfernee_Kai_Wing_Tse	11
27698376	Hui_Cao	12
27698376	Ai-Ping_Lu	13
27698376	Zhi-Ling_Yu	14
27693538	Sarah_M_Romereim	1
27693538	Adam_F_Summers	2
27693538	William_E_Pohlmeier	3
27693538	Pan_Zhang	4
27693538	Xiaoying_Hou	5
27693538	Heather_A_Talbott	6
27693538	Robert_A_Cushman	7
27693538	Jennifer_R_Wood	8
27693538	John_S_Davis	9
27693538	Andrea_S_Cupp	10
27689529	Ramani_Soundararajan	1
27689529	Timothy_M_Stearns	2
27689529	Alexander_Czachor	3
27689529	Jutaro_Fukumoto	4
27689529	Christina_Turn	5
27689529	Emma_Westermann-Clark	6
27689529	Mason_Breitzig	7
27689529	Lee_Tan	8
27689529	Richard_F_Lockey	9
27689529	Benjamin_L_King	10
27689529	Narasaiah_Kolliputi	11
27688749	Hassan_Ashktorab	1
27688749	Afnan_Shakoori	2
27688749	Shatha_Zarnogi	3
27688749	Xueguang_Sun	4
27688749	Sudhir_Varma	5
27688749	Edward_Lee	6
27688749	Babak_Shokrani	7
27688749	Adeyinka_O_Laiyemo	8
27688749	Kareem_Washington	9
27688749	Hassan_Brim	10
27685785	Jonathan_G_Boucher	1
27685785	Rémi_Gagné	2
27685785	Andrea_Rowan-Carroll	3
27685785	Adèle_Boudreau	4
27685785	Carole_L_Yauk	5
27685785	Ella_Atlas	6
27661612	Yan_Fu	1
27661612	Andreas_L_Chryssafidis	2
27661612	John_A_Browne	3
27661612	Jack_O'Sullivan	4
27661612	Paul_A_McGettigan	5
27661612	Grace_Mulcahy	6
27659785	Yanbin_Zhang	1
