pmid	author	order
26285614	Patricia_Hirt-Minkowski	1
26285614	Sacha_A_De_Serres	2
26285614	Julie_Ho	3
26236496	Gabriel_Chan	1
26236496	Pierre_Garneau	2
26236496	Roy_Hajjar	3
26236357	Cécile_Ferrouillet	1
26236357	François_Milord	2
26236357	Louise_Lambert	3
26236357	Anne_Vibien	4
26236357	André_Ravel	5
26229205	Mira_Johri	1
26229205	Myriam_Cielo_Pérez	2
26229205	Catherine_Arsenault	3
26229205	Jitendar_K_Sharma	4
26229205	Nitika_Pant_Pai	5
26229205	Smriti_Pahwa	6
26229205	Marie-Pierre_Sylvestre	7
26229200	Stefanie_Vandevijvere	1
26229200	Clare_Dominick	2
26229200	Anandita_Devi	3
26229200	Boyd_Swinburn	4
26204364	Eric_Bohm	1
26204364	Lynda_Loucks	2
26204364	Kristy_Wittmeier	3
26204364	Lisa_M_Lix	4
26204364	Luis_Oppenheimer	5
26168102	Innie_Chen	1
26168102	Laura_Hopkins	2
26168102	Bianca_Firth	3
26168102	Julia_Boucher	4
26168102	Sukhbir_S_Singh	5
26168099	Andrea_N_Simpson	1
26168099	Ryan_Hodges	2
26168099	John_Snelgrove	3
26168099	David_Gurau	4
26168099	Michael_Secter	5
26168099	Eva_Mocarski	6
26168099	Richard_Pittini	7
26168099	Rory_Windrim	8
26168099	Mary_Higgins	9
26145483	Lisa_Wozniak	1
26145483	Allison_Soprovich	2
26145483	Sandra_Rees	3
26145483	Len_Frank	4
26145483	Steven_T_Johnson	5
26145483	Sumit_R_Majumdar	6
26145483	Jeffrey_A_Johnson	7
26077524	M_Moosazadeh	1
26077524	A_Nezammahalleh	2
26077524	M_Movahednia	3
26077524	N_Movahednia	4
26077524	N_Khanjani	5
26077524	M_Afshari	6
26077522	A_K_M_Idris	1
26077522	E_Z_Elsamani	2
26077522	A_E_A_Elnasri	3
26077519	A_Tanti	1
26077519	A_Serracino-Inglott	2
26077519	J_J_Borg	3
26074222	A_H_Al-Nawafleh	1
26074221	N_Shoqirat	1
26022151	Di_Zhou	1
26022151	Ming_Ye	2
